PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;7110800000;400;ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ;28.05.2020;12378;ТСЦ 7142;TOYOTA;RAV4;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1987;1690;2110;СА7725ВХ
J;6810100000;319;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВОГО ВЛАСНИКА ЗА АКТОМ ПРИЙОМУ-ПЕРЕДАЧІ;16.09.2020;12371;ТСЦ 6841;VOLKSWAGEN;JETTA;2008;СІРИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1595;1350;1870;ВХ2768ЕК
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);11.11.2020;12371;ТСЦ 6841;RENAULT;KANGOO;2003;ЖОВТИЙ;ВАНТАЖНИЙ;ФУРГОН МАЛОТОНАЖНИЙ-B;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1461;1115;1610;ВХ0301ЕР
P;8038900000;284;НАЛЕЖНИЙ КОРИСТУВАЧ. ВИКЛЮЧЕННЯ ВІДОМОСТЕЙ;02.07.2020;12294;ТСЦ 8045;RENAULT;LOGAN;2012;БЕЖЕВИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1390;1090;1535;АА3062ТО
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);05.06.2020;12371;ТСЦ 6841;MAZDA;3;2008;СІРИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1598;1371;1700;ВХ4652ЕІ
P;3223186803;440;ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ;04.02.2020;12295;ТСЦ 8046;LEXUS;LX 570;2011;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;5663;2660;3300;АІ0815КН
P;1822083001;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;20.10.2020;12254;ТСЦ 1841;HYUNDAI;ACCENT;2012;БЕЖЕВИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1396;1110;1565;АМ2954ЕМ
P;5924787901;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);04.12.2020;12347;ТСЦ 5946;MITSUBISHI;PAJERO SPORT;2011;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2477;2070;2710;ВМ7474ВХ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);06.06.2020;12284;ТСЦ 3245;SKODA;OCTAVIA;2006;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК-В;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1595;1405;1850;АІ7597КО
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;22.09.2020;12233;ТСЦ 0545;OPEL;VIVARO;2004;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1870;1724;2940;АМ7032ЕА
J;6810100000;319;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВОГО ВЛАСНИКА ЗА АКТОМ ПРИЙОМУ-ПЕРЕДАЧІ;06.02.2020;12371;ТСЦ 6841;ШЗК;03 ТУРИСТ;1994;СІРИЙ;ПРИЧІП;ПР-БОРТОВИЙ-B;ЗАГАЛЬНИЙ;;;170;500;ВХ5973ХО
P;7410500000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;06.10.2020;12285;ТСЦ 3246;VOLKSWAGEN;POLO;2009;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК-В;ЗАГАЛЬНИЙ;БЕНЗИН;1390;1067;1550;СВ8160СР
P;1211036600;255;АНУЛЮВАННЯ ВИДАЧI ТИМЧАС. РЕЄСТРАЦIЙНОГО ТАЛОНУ ПО ДОРУЧ;17.01.2020;12242;ТСЦ 1243;MERCEDES-BENZ;SPRINTER 313 CDI;2002;БІЛИЙ;АВТОБУС;АВТОБУС-D;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2148;2100;3500;АЕ0891АВ
P;510136600;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;03.03.2020;12229;ТСЦ 0541;BMW;X5;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2993;2150;2755;АВ5030ЕО
P;5610900000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);31.07.2020;12235;ТСЦ 0741;AUDI;A6;2002;СИНІЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2496;1650;2100;ВК5031НА
P;6810600000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;02.07.2020;12375;ТСЦ 6845;HYUNDAI;ACCENT;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1396;1160;1565;ВХ5784ЕІ
P;5110137600;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;22.09.2020;12322;ТСЦ 5142;TOYOTA;RAV4;2012;БІЛИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;1987;1505;2110;ВН3913ОА
